sensorID,dataFormat,rssi,humidity,temperature,pressure,accelerationX,accelerationY,accelerationZ,battery,dateTime
df7260547217,3,-53,51.5,21.13,102331,-397,-384,842,2947,03/12/2019 12:28:39
df7260547217,3,-41,39.5,28.1,98743,11,12,1000,2959,27/11/2019 01:35:49
df7260547217,3,-44,39,27.9,98744,14,14,1003,2959,27/11/2019 01:36:19
df7260547217,3,-41,39,27.69,98738,11,17,1008,2953,27/11/2019 01:36:49
df7260547217,3,-53,39,27.51,98738,9,13,1004,2959,27/11/2019 01:37:19
df7260547217,3,-43,39.5,27.34,98735,15,14,1006,2947,27/11/2019 01:37:49
df7260547217,3,-44,39.5,27.17,98738,9,11,1003,2947,27/11/2019 01:38:19
df7260547217,3,-59,39.5,27,98765,17,-25,1006,2953,27/11/2019 01:38:49
df7260547217,3,-46,40,26.62,98741,15,-26,1014,2959,27/11/2019 01:39:19
,,,,,,,,,,07/01/2020 01:17:37
df7260547217,3,-60,51.5,21.03,102123,29,-199,-955,2935,07/01/2020 13:20:11
df7260547217,3,-60,51.5,21.03,102123,29,-199,-955,2935,07/01/2020 13:21:00
df7260547217,3,-65,51.5,21.04,102117,28,-198,-955,2935,07/01/2020 13:21:30
